日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20220131,1446,キャンディル,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20220131,1447,ＩＴｂｏｏｋホールディングス,マザーズ（内国株）,2050,建設業,3,建設・資材 ,-,-
20220131,1448,スペースバリューホールディングス,市場第一部（内国株）,2050,建設業,3,建設・資材 ,7,TOPIX Small 2
20220131,1450,田中建設工業,JASDAQ(スタンダード・内国株）,2050,建設業,3,建設・資材 ,-,-
20220131,1451,ＫＨＣ,市場第二部（内国株）,2050,建設業,3,建設・資材 ,-,-
20220131,1452,横浜ライト工業,PRO Market,2050,建設業,3,建設・資材 ,-,-
20220131,1456,ダイワ上場投信－日経平均インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20220131,1457,ダイワ上場投信－ＴＯＰＩＸインバース（－１倍）指数,ETF・ETN,-,-,-,-,-,-
20220131,1458,楽天ＥＴＦ‐日経レバレッジ指数連動型,ETF・ETN,-,-,-,-,-,-
20220131,1459,楽天ＥＴＦ‐日経ダブルインバース指数連動型,ETF・ETN,-,-,-,-,-,-
20220131,1464,ダイワ上場投信－ＪＰＸ日経４００レバレッジ・インデックス,ETF・ETN,-,-,-,-,-,-
20220131,1465,ダイワ上場投信－ＪＰＸ日経４００インバース・インデックス,ETF・ETN,-,-,-,-,-,-
20220131,1466,ダイワ上場投信－ＪＰＸ日経４００ダブルインバース・インデックス,ETF・ETN,-,-,-,-,-,-
20220131,1467,ＪＰＸ日経４００ブル２倍上場投信（レバレッジ）,ETF・ETN,-,-,-,-,-,-
20220131,1468,ＪＰＸ日経４００ベア上場投信（インバース）,ETF・ETN,-,-,-,-,-,-
20220131,1469,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,ETF・ETN,-,-,-,-,-,-
20220131,1471,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００インバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1472,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1473,Ｏｎｅ　ＥＴＦ　トピックス,ETF・ETN,-,-,-,-,-,-
20220131,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-
20220131,1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数,ETF・ETN,-,-,-,-,-,-
20220131,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1481,上場インデックスファンド日本経済貢献株,ETF・ETN,-,-,-,-,-,-
20220131,1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20220131,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,ETF・ETN,-,-,-,-,-,-
20220131,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1486,上場インデックスファンド米国債券（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20220131,1487,上場インデックスファンド米国債券（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20220131,1488,ダイワ上場投信－東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20220131,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,ETF・ETN,-,-,-,-,-,-
20220131,1491,中外鉱業,市場第二部（内国株）,3500,非鉄金属,7,鉄鋼・非鉄 ,-,-
20220131,1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,ETF・ETN,-,-,-,-,-,-
20220131,1494,Ｏｎｅ　ＥＴＦ　高配当日本株,ETF・ETN,-,-,-,-,-,-
20220131,1495,上場インデックスファンドアジアリート,ETF・ETN,-,-,-,-,-,-
20220131,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20220131,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20220131,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ,ETF・ETN,-,-,-,-,-,-
20220131,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1514,住石ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220131,1515,日鉄鉱業,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220131,1518,三井松島ホールディングス,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220131,1540,純金上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20220131,1541,純プラチナ上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20220131,1542,純銀上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20220131,1543,純パラジウム上場信託（現物国内保管型）,ETF・ETN,-,-,-,-,-,-
20220131,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,ETF・ETN,-,-,-,-,-,-
20220131,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1552,国際のＥＴＦ　ＶＩＸ短期先物指数,ETF・ETN,-,-,-,-,-,-
20220131,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,ETF・ETN,-,-,-,-,-,-
20220131,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）,ETF・ETN,-,-,-,-,-,-
20220131,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1563,マザーズ・コア上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1566,上場インデックスファンド新興国債券,ETF・ETN,-,-,-,-,-,-
20220131,1568,ＴＯＰＩＸブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1569,ＴＯＰＩＸベア上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1572,中国Ｈ株ブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1573,中国Ｈ株ベア上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ,ETF・ETN,-,-,-,-,-,-
20220131,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1578,上場インデックスファンド日経２２５（ミニ）,ETF・ETN,-,-,-,-,-,-
20220131,1579,日経平均ブル２倍上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1580,日経平均ベア上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］,ETF・ETN,-,-,-,-,-,-
20220131,1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20220131,1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20220131,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1592,上場インデックスファンドＪＰＸ日経インデックス４００,ETF・ETN,-,-,-,-,-,-
20220131,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20220131,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,ETF・ETN,-,-,-,-,-,-
20220131,1597,ＭＡＸＩＳ　Ｊリート上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1599,ダイワ上場投信－ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-
20220131,1605,ＩＮＰＥＸ,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,4,TOPIX Mid400
20220131,1615,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1617,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1618,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1619,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1620,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1621,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1622,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1623,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1624,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1625,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1626,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1627,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1628,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1629,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1630,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1631,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1632,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1633,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1651,ダイワ上場投信－ＴＯＰＩＸ高配当４０指数,ETF・ETN,-,-,-,-,-,-
20220131,1652,ダイワ上場投信－ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,ETF・ETN,-,-,-,-,-,-
20220131,1653,ダイワ上場投信－ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,ETF・ETN,-,-,-,-,-,-
20220131,1654,ダイワ上場投信－ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,ETF・ETN,-,-,-,-,-,-
20220131,1655,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1656,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1657,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1658,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1659,ｉシェアーズ　米国リート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20220131,1660,ＭＡＸＩＳ高利回りＪリート上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1662,石油資源開発,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,6,TOPIX Small 1
20220131,1663,Ｋ＆Ｏエナジーグループ,市場第一部（内国株）,1050,鉱業,2,エネルギー資源 ,7,TOPIX Small 2
20220131,1671,ＷＴＩ原油価格連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1672,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1673,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1674,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1675,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1676,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1677,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,ETF・ETN,-,-,-,-,-,-
20220131,1678,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1679,Ｓｉｍｐｌｅ－Ｘ　ＮＹダウ・ジョーンズ・インデックス上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1680,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,ETF・ETN,-,-,-,-,-,-
20220131,1681,上場インデックスファンド海外新興国株式（ＭＳＣＩエマージング）,ETF・ETN,-,-,-,-,-,-
20220131,1682,ＮＥＸＴ　ＦＵＮＤＳ　日経・ＪＰＸ白金指数連動型上場投信,ETF・ETN,-,-,-,-,-,-
20220131,1684,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1685,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1686,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1687,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1688,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1689,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1690,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1691,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1692,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1693,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1694,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1695,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1696,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1697,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,ETF・ETN,-,-,-,-,-,-
20220131,1698,上場インデックスファンド日本高配当（東証配当フォーカス１００）,ETF・ETN,-,-,-,-,-,-
